Sixth Catalog of Orbits of Visual Binary Stars: Orbits																																	
RA(2000).	DEC(2000)	WDS.......	DD............	ADS..	HD....	HIP...	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee	E.EEEEEE	e.eeeeee	OOO.OOOO	eee.eeee	EQNX	LAST	G	N	REF.....	PNGFILE...........
1038.56	-731327.7	00106-7313	I    43AB		661	865	6.97		8.55		1637.7	y	84	2.762	a	0.177	95.6	1.8	172.8	5.3	2187.8	y	86.3	0.487	0.036	13.9	2.6	2000	1996	5		Cve2010e	wds00106-7313a.png
1125.97	584929.1	00114+5850	"SKW   1Aa,Ab"				15		19		462.7	y		0.14	a		0.3		31					0.9		344			2003	7	n	SKW2005	
1125.97	584929.1	00114+5850	"SKW   1Aa,Ab"				15		19		58.8	y		0.05	a		0.4		33					0.9		14			2003	7	n	SKW2005	
1125.97	584929.1	00114+5850	"SKW   1Aa,Ab"				15		19		117.9	y		0.1	a		70		48					0.31		300			2003	7	n	SKW2005	
1125.97	584929.1	00114+5850	"SKW   1Aa,Ab"				15		19		206.3	y		0.17	a		70		243					0.69		63			2003	7	n	SKW2005	
1150.13	282524	00118+2825	BU  255	147	744	956	7.88		8.97		245	y		0.661	a		116		166.1		2067.2	y		0.96		265.4		2000	2008	4		Zir2015a	wds00118+2825i.png
1208.05	533726.1	00121+5337	BU 1026AB	148	761	981	7.25		8.46		66.84	y	0.17	0.2514	a	0.0055	42.77	0.84	254.9	1.2	1986.542	y	0.029	0.8282	0.0058	255.2	1.1	2000		2	n	Hrt1996a	wds00121+5337a.png
1210.31	464629.7	00122+4647	A   802	149	764	984	9.7		10.35		269.52	y		0.26	a		108.8		125.6		1972.51	y		0.511		266.6		2000	1991	5	n	Msn2001c	wds00122+4647a.png
1230.12	143349.3	00125+1434	LN Peg			999	8.59				1251.355	d	88.1887	18.39	m	1.24	81.27	5.77	118.04	4.23	48480.625	d	16.4729	0		0			1991	9	n	HIP1997d	wds00125+1434r.png
1233.15	-114134.7	00126-1142	RST3343		821	1005	8.98		8.98		187.8	y		0.277	a		42		88.9		2058.25	y		0.164		272.5		2000	2008	5		Doc2013g	wds00126-1142b.png
1323.93	265915.4	00134+2659	STT   2AB	161	895	1076	6.77		7.67		421.98	y	7.92	0.641	a	0.003	124.1	0.9	193	0.7	1969.97	y	0.28	0.72	0.004	286.1	0.6	2000	2005	3	n	Hrt2008	wds00134+2659b.png
1420.22	-273151.9	00143-2732	HDS  33		1002	1144	7.93		8.88		10.22	y	0.07	0.124	a	0.002	28.4	2.5	215.3	5.3	2013.47	y	0.04	0.609	0.009	80	4.3	2000	2014	2		Tok2015c	wds00143-2732o.png
1453.43	-320910	00149-3209	B  1024		1078	1190	8.66		8.9		1466	y	356	1.586	a	0.266	110.4	0.4	126	0.6	1926.38	y	1.07	0.814	0.032	311.8	3.1	2000	2008	5		Lin2012a	wds00149-3209k.png
1509.8	272345.1	00152+2722	J   868	195			12.42		12.62		1089	y	153	8.48	a	1.06	75.2	2.5	68.9	3.1	1725	y	147	0.367	0.37	352.8	19.4	2000	2006	5		Nov2007b	wds00152+2722b.png
1517.83	441212.2	00153+4412	A  1256AB	197	1082	1233	7.3		7.5		330	y		0.29	a		73.8		64.3		1995.5	y		0.715		78.1		2000	1991	4		USN2002	wds00153+4412b.png
1517.83	441212.2	00153+4412	A  1256AB	197	1082	1233	7.3		7.5		137.958	y	1.657	0.1527	a	0.0008	62.9	0.3	68.4	1	1997.78	y	0.12	0.7238	0.0096	118.14	0.02	2000	1991	3		Ole2003d	wds00153+4412k.png
1527.67	-160756.3	00155-1608	HEI 299		1242	1242	11		11.4		4.55	y	0.002	0.306	a	0.002	145.6	1.3	60.8	1.4	1995.363	y	0.016	0.36	0.005	344.5	2.2	2000	2014	2	n	Tok2015c	wds00155-1608o.png
1614.02	765703	00162+7657	STF  13	207	1141	1296	7.03		7.12		971.444	y		0.9873	a		135.8		89.4		2770.589	y		0.4095		285.2			1996	4	n	Ole2001	wds00162+7657a.png
1644.54	362929.4	00167+3629	STT   4	221	1224	1336	7.94		9.88		108.9	y		0.35	a		162.5		10.8		1907.9	y		0.56		356.3			1999	2	n	Alz2000a	wds00167+3629a.png
1653.59	-523905.7	00169-5239	GJ 13		1273	1349	6.85				411.4	d		20.98	m	0.56	74.7	2.1	352.3	3.3	34233.3	d		0.57		4.7			1992	9	n	Jnc2005	wds00169-5239s.png
1705.54	384054	00171+3841	CHR 123		1280	1366	4.61				1033	d	84	25	m	22	69	15	263	103	48587	d	243	0.95	0.22	89	102		1993	9	n	Gln2006	wds00171+3841s.png
1705.54	384054	00171+3841	CHR 123		1280	1366	4.61				1006	d	95	12	m	6	63	10	294	94	48621	d	327	0.62	0.28	70	96		1993	9	n	Gln2006	wds00171+3841r.png
1724.5	85234.8	00174+0853	A  1803AB	238	1317	1392	8.38		7.78		35.66	y		0.189	a		95.4		124.1		1950.7	y		0.002		282		2000	2008	2	n	Hrt2010a	wds00174+0853b.png
1814.7	725648.4	00182+7257	A   803	243	1360	1461	8.1		8.76		247.63	y	5.08	0.367	a	0.026	68.6	1.3	151.2	1.1	2053.72	y	3.7	0.392	0.035	243	5.3	2000	1998	4	n	Cve2006e	wds00182+7257b.png
1822.88	440122.6	00184+4401	GRB  34AB	246	1326	1475	8.31	v	11.36	v	1253	y	259	26.73	a	3.54	46	11	243	25	2327	y	81	0.59	0.19	331	32	2000	2011	5	n	PkO2014c	wds00184+4401o.png
2018.38	-324608.9	00203-3246	B  1025		1620	1625	8.83		10.64		126.11	y		0.609	a		109.1		167.2		1920.97	y		0.544		283.5		2000	2010	4	n	Hrt2012a	wds00203-3246k.png
2033	453032.2	00205+4531	A   647	277	1614	1642	7.17		9.56		372.7	y		0.947	a		122		39.4		1876.01	y		0.292		136.8		2000	2006	5		Pru2008	wds00205+4531c.png
2038.21	121839.8	00206+1219	BU 1015	281	1634	1646	8.39		9.67		137	y		0.333	a		35		291.2		1961.65	y		0.557		10		2000	2008	2	n	Hrt2010a	wds00206+1219a.png
2054.1	325840.9	00209+3259	AC    1	285	1641	1669	7.27		8.26		525	y		1.234	a		84		107.5		1820.1	y		0.6		26.8		2000	2012	4		Zir2015a	wds00209+3259i.png
2054.59	105836.8	00209+1059	BU 1093	287	1663	1670	6.73		8.55		471	y		0.545	a		42.4		132.3		1844.26	y		0.517		181.6		2000	2005	5		Lin2010c	wds00209+1059b.png
2057.23	674003	00210+6740	HJ 1018	283	1624	1674	8.57		8.89		161	y		1	a		88		87		1941	y		0.89		202		2000		4	n	Sod1999	wds00210+6740a.png
2122.17	670019.5	00214+6700	STT   6AB	293	1658	1700	7.54		8.77		335.385	y		0.3935	a		128.3		149		1928.76	y		0.9424		182.7			1997	4	n	Ole2001	wds00214+6700a.png
2223.47	-270153.8	00224-2702	GJ 9011		1815	1768	8.33				1150	d	40	40	m	2.2	47	4	93	93	49225	d	272	0.07	0.08	117	64		1991	9		Gln2007	wds00224-2702r.png
2415.64	520111.7	00243+5201	HU  506	328	1976	1921	5.95		6.84		169.29	y		0.214	a		64.8		30.1		1955.06	y		0.163		311.8		2000	2004	3	n	Doc2005b	wds00243+5201a.png
2444.24	-270826.5	00247-2653	LEI   1BC				18.69		19.07		17.24	y	0.01	0.4578	a	0.0011	61.82	0.06	14.65	0.05	54145	d	1.1	0.0227	0.35	217.01	0.06	2000	2008	2	n	Koh2012	wds00247-2653c.png
2444.25	-270827.9	00247-2653	"LEI   1A,BC"				15.4		18.69		44.4	y	7.2	1.1116	a	0.001	54.75	0.5	26.8	0.08	59727.9	d	3.4	0.52	0.0016	147.61	4.25	2000	2008	4	n	Koh2012	wds00247-2653d.png
2444.31	-510235.7	00247-5103	CD-51   95		2070	1955	6.82				115.3	d		4.68	m	0.25	108	7.5	299	8.3	35627.6	d		0.33		18.7			1992	9		Jnc2005	wds00247-5103r.png
2508.5	480250.9	00251+4803	HDS  56AB		2057	1987	7.72		10.63		28.05	y	0.46	0.23	a	0.008	164	3.8	96.1	16.2	1999.29	y	0.55	0.481	0.058	358.9	15.7	2000	2007	3		Cve2011a	wds00251+4803a.png
2616.87	-421818.4	00262-4217	alp Phe		2261	2081	2.37				3848.8	d		103.5	m	8.2	128	5.4	242.8	3.9	16201.8	d		0.34		19.8			1992	9	n	Jnc2005	wds00262-4217s.png
2707.77	-75233.6	00271-0753	A   431AB	363	2333	2143	8.84		8.95		53.56	y		0.364	a		109		25.5		2003.58	y		0.644		293		2000	2013	2	n	Sca2015a	wds00271-0753i.png
2723.42	305336.1	00274+3054	HDS  62		2343	2170	8.55		10.46		936	d		4.1	m	1	48.9	11.6	293.2	9.9	42531.9	d		0		0		2000		9	n	Ren2013	wds00274+3054f.png
2755.93	221932.8	00279+2220	FRV   1				10.15	k	10.46	k	7.76	y	0.04	0.1467	a	0.0006	117.23	0.13	35.95	0.11	54858.5	d	25	0.051	0.003	250	3	2000	2010	3	n	Dup2010b	wds00279+2220f.png
2817.07	634405.9	00283+6344	HU 1007AB	371		2232	10.25		10.13		198.53	y		0.458	a		53.51		117.03		2060.86	y		0.473		103.26			1962	5	n	dSl1968	wds00283+6344a.png
2821.17	-202005.2	00284-2020	B  1909		2475	2237	7.23		7.4		11.35	y		0.202	a		69.8		119.49		1995.09	y		0.005		99		2000	2009	1	n	Hrt2010a	wds00284-2020a.png
2840.87	371814.9	00287+3718	A  1504AB	382	2471	2252	8.84		8.92		977	y		0.843	a		70.2		51.9		2071	y		0.29		17.6		2000	2009	4		Zir2014a	wds00287+3718a.png
3045.56	473147.5	00308+4732	BU  394AB	416	2675	2414	8.49		8.77		142.14	y		0.689	a		78		102.1		1992.37	y		0.847		2		2000	1991	4		Zul1997b	wds00308+4732a.png
3105.23	-100501.9	00310-1005	BU 1158BC	426	2761	2444	9.69		9.09		134.66	y		0.38	a		61.4		154.5		2007.39	y		0.55		213.5			1984	4	n	Baz1991a	wds00310-1005a.png
3133.36	-625755.6	00315-6257	I   260CD		2885	2487	4.6		6.54		44.73	y	0.34	0.495	a	0.001	124.7	0.3	241.6	0.2	2011.62	y	0.01	0.81	0.001	112.2	0.2	2000	2014	2	n	Tok2015c	wds00315-6257o.png
3146.32	543120.3	00318+5431	STT  12	434	2772	2505	5.33		5.62		245.7	y	35.96	0.448	a	0.028	53.6	5.2	17.6	9.6	2025.54	y	4.65	0.689	0.119	301	2.6		2010	3	n	Dru2014	wds00318+5431b.png
3200.65	273944.1	00320+2740	COU 547		2854		8.9		9.1		265	y		0.322	a		79.9		31.7		1984.9	y		0.737		295.9		2000	2007	5		Zir2010b	wds00320+2740a.png
3207.04	-121742.1	00321-1218	HDS  71		2893	2532	8.97		9.46		57.943	y	1.966	0.2666	a	0.0038	132.3	7.9	126.6	9.7	2034.432	y	0.95	0.233	0.096	325.3	21	2000	2008	5		Cve2014	wds00321-1218a.png
3208.28	-51043.3	00321-0511	A   111AB	450	2880	2533	9.4		9.4		10.64	y	0.02	0.122	a	0.003	155.7	4.2	206.5	18.5	2015.19	y	0.19	0.538	0.014	101.6	14.9	2000	2014	2	n	Tok2015c	wds00321-0511o.png
3223.75	65719.6	00324+0657	"MCA   1Aa,Ab"	449	2913	2548	5.84		7.99		27.41	y		0.16	a		111.2		105.3		1988.97	y		0.807		13		2000	2008	3	n	Msn2012a	wds00324+0657f.png
3229.43	671408.8	00321+6715	"MCY   1Aa,Ab"	440		2552	6.2	k	8.2	k	15.64	y	0.2	0.511	a	0.005	44.6	1.5	175.1	1	2000.76	y	0.2	0.174	0.003	106.8	5	2000	2005	4	n	Doc2008d	wds00321+6715d.png
3229.43	671408.8	00321+6715	VYS   2AB	440		2552	10.62	v	12.2		222.3	y	8.5	3.322	a	0.05	47.3	0.4	174.9	2	1859.4	y	3.9	0.293	0.035	146.3	2.9	2000	2005	5	n	Doc2008d	wds00321+6715b.png
3229.43	671408.4	00321+6715	VYS   2B	440		2552	12.2				15	y	0.5	0.348	a	0.01	47	5	175	5	2010	y	0.5	0.083	0.05	347	5	2000		9	n	Ana2011	wds00321+6715l.png
3329.7	-551942	00335-5520	I    45AB		3075	2642	7.65		8.59		665.1	y		0.736	a		129.9		1.2		1773.66	y		0.023		16.2		2000	2008	5		Zir2013d	wds00335-5520b.png
3329.97	400620.2	00335+4006	HO    3	463	2993	2643	8.09		9.72		69.15	y		0.386	a		113		297.5		1984.29	y		0.313		321		2000	2012	3	n	Msn2014a	wds00335+4006f.png
3429.75	-43247.5	00345-0433	D     2AB	475	3125	2713	7.63		8.04		2981	y		2.74	a		77.5		266		2007	y		0.923		80.2		2000	2009	4		Hrt2010a	wds00345-0433a.png
3514.64	-33533.9	00352-0336	HO  212AB	490	3196	2762	5.61		6.9		6.89	y		0.241	a		49.4		149		2000.98	y		0.773		283.8		2000	2004	1	n	Msn2005	wds00352-0336a.png
3534.17	-394445.2	00356-3945	CD-40  135		3277	2790	7.44				46.1512	d	0.0002	2.5	m	0.5	166.5	2.6	270.2	11.2	54324.14	d	0.03	0.285	0.001	320.6	0.3			9		SaJ2011	wds00356-3945o.png
3539.48	342846.6	00357+3429	HU 1011	492	3212	2801	8.43		9.78		473.78	y		0.387	a		134.6		155.7		2278.94	y		0.479		260.9		2000	1997	5		Ole2002a	wds00357+3429a.png
3602.24	295938.4	00360+2959	STF  42AB	497	3266	2844	8.39		9.05		1900	y	190	4.5	a	0.3	155	9	23	2	1384	y	32	0.53	0.07	206	8		2000	5	n	Kis2009	wds00360+2959a.png
3633.43	560832	00366+5609	A   914	504	3304	2886	8.42		9.29		1240.2	y	79.4	0.88	a	0.084	109.4	2.1	24.7	2.9	2015.1	y	80.1	0.477	0.043	4.4	3.3	2000	2005	4		Cve2010e	wds00366+5609a.png
3652.84	334309.7	00369+3343	"MKT   1Aa,Ab"	513	3369	2912	4.36				143.53	d	0.06	6.69	m	0.05	103	0.2	94.7	0.2	47717.7	d	0.4	0.542	0.006	170.7	0.7	2000	1992	1	n	MkT1995	wds00369+3343a.png
3720.68	-244602.1	00373-2446	BU  395	520	3443	2941	6.6		6.2		25.02	y		0.675	a		78.6		291.98		1998.78	y		0.218		318.1		2000	2009	1	n	Hrt2010a	wds00373-2446a.png
3919.6	305140.4	00393+3052	del And	548	3627	3092	3.3				52.8	y		0.62	a	0.04	137	5	290	7	1958.5	y	1.1	0.5	0.1	231	9			5	n	Gon2002b	wds00393+3052s.png
4006.26	501415.5	00401+5014	V523 Cas				10.87				86	y	5		m		83.8							0.08	0.07					7	n	Pbl2006	
4135.98	243744.6	00416+2438	WRH  28		3883	3269	6.06				21.26	y	0.94	0.126	a	0.006	33.4	3.6	145.7	6.7	1993.02	y	0.56	0.5	0.04	230.5	8	2000	1988	5	n	Ole2005c	wds00416+2438a.png
4223.21	41000	00424+0410	STT  18AB	588	3972	3326	7.86		9.71		386.51	y		3.296	a		75.3		76.5		1828.13	y		0.834		284.3		2000	1999	4	n	Hrt2001b	wds00424+0410a.png
4241.37	-653630.6	00427-6537	I   440		4125	3351	7.27		8.75		196	y		0.274	a		157		57		2142	y		0.65		344		2000	2009	4	n	Hrt2010a	wds00427-6537a.png
4247.92	124841.8	00428+1249	HDS  93			3361	10.78		12.02		94.28	y		0.339	a		134.5		50.7		2006.69	y		0.226		343.6		2000	2007	5		Cve2011b	wds00428+1249k.png
4253.2	204635.6	00429+2047	A  2205	597		3373	10.26		10.09		160.08	y		0.27	a		131.6		127		1962.7	y		0.76		309.3			1986	5	n	Baz1989a	wds00429+2047a.png
4303.47	765925.5	00431+7659	HU 1012	584	3871		9.83		9.71		580	y		1.17	a		108.3		38.8		1875	y		0.687		121.1		2000	1995	5		USN2002	wds00431+7659a.png
4322.78	472618.8	00434+4726	A   651	601			9.67		10.2		1530	y		1.96	a		121.3		179.3		1907	y		0.633		319.5		2000	2000	5		USN2002	wds00434+4726a.png
4443.5	481703.8	00447+4817	"NOI   3Aa,Ab"	622	4180	3504	4.6		7.5		1035.55	d		0.017	a	0.0006	115	2.6	87.3	0.8	52792.2	d	0.6	0		0			2007	3	n	NOI2010	wds00447+4817b.png
4611.05	-221429.3	00462-2214	RST4155		4397	3606	9.76		10.03		48	y		0.195	a		138.5		28.8		1957.2	y		0.2		13.5			1983	4	n	Hei1984a	wds00462-2214a.png
4616.11	-63358.4	00463-0634	HDS 101		4393	3612	8.93		10.27		24.809	y		0.102	a		43.8		33.8		2010.38	y		0.7		177.3		2000	2010	4		Cve2015b	wds00463-0634o.png
4640.52	-42535.1	00467-0426	LTT 440		4449	3645	7.7				1282	d	356	21.2	m	3.6	86	6	129	90	48947	d	538	0.11	0.24	102	67		1991	9		Gln2007	wds00467-0426r.png
4656.67	433849.9	00469+4339	HDS 102			3669	10.12		11.65		46.76	y	1.49	0.229	a	0.006	118.7	1.4	38.6	1.6	2015.92	y	0.99	0.73	0.059	67.2	5.1	2000	2001	4		Cve2008c	wds00469+4339b.png
4700.84	231502.2	00470+2315	HU  413	650	4463	3673	9.23		9.26		351.37	y	9.704	0.6232	a	0.0481	52.5	2.8	44.9	3.2	2074.213	y	6.372	0.4235	0.0532	25.9	10	2000	1994	5		Ole2003d	wds00470+2315k.png
4808.88	724028	00481+7240	HR  212		4440	3750	5.86				1748	d	582	17.2	m	8.2	81	6	80	6	49107	d	606	0.77	0.22	33	19		1991	9		Gln2007	wds00481+7240t.png
4844.81	184107.9	00487+1841	BU  495AB	673	4655	3795	8.34		8.61		143.628	y	4	0.617	a	0.026	107.4	4.6	31.3	5.6	1979.856	y	0.27	0.5	0.01	338.1	12.4	2000	1998	3	n	Sca2000b	wds00487+1841a.png
4858.71	165628.1	00490+1656	"64 Psc Aa,Ab"		4676	3810	5.1		5.2		13.824621	d	0.000017	6.527	m	0.061	73.8	0.92	63.6	0.82	50905.984	m	0.015	0.2376	0.0012	203.56	0.35		1998	8	n	Bod1999b	wds00490+1656r.png
4905.14	574859.4	00491+5749	STF  60AB	671	4614	3821	3.52		7.36		479.27	y		12.04	a		35.6		278		1889.93	y		0.497		269.8		2000	2014	3	n	Sca2015c	wds00491+5749p.png
4909.1	571937.6	00492+5720	A   921AB	674	236538		9		9.5		120.47	y		0.221	a		59.6		140.3		1982.4	y		0.696		96.6		2000	2007	4	n	Cve2012	wds00492+5720f.png
4932.74	440333.8	00495+4404	HDS 109		4712	3857	8.02		10.32		46.64	y		0.253	a		133.5		131.1		2009.69	y		0.752		227.5		2000	2012	4		FMR2013a	wds00495+4404g.png
4937.25	474550.4	00496+4746	BD+46  176		4701	3865	6.67				1142	d	145	10	m	3	44	16	86	127	49210	d	353	0.47	0.31	82	64		1993	9		Gln2006	wds00496+4746r.png
4937.25	474550.4	00496+4746	BD+46  176		4701	3865	6.67				1325	d	324	24	m	16	68	16	54	139	48876	d	516	0.97	0.15	82	24		1993	9		Gln2006	wds00496+4746s.png
5025.1	503749.6	00504+5038	BU  232AB	684	4777	3926	8.46		8.79		201	y	9	0.531	a	0.033	31.9	2.6	64.9	5.7	1914.52	y	0.29	0.621	0.014	11.4	5.4	2000	2006	3	n	Sca2008a	wds00504+5038b.png
5043.57	641451.3	00507+6415	MCA   2		4775	3951	5.7		6.8		5.7255	y	0.0046	0.0341	a	0.0013	140.3	9.1	125.1	9.7	1982.3463	y	0.0093	0.534	0.007	143.31	0.96	2000	1994	3	n	Msn1997b	wds00507+6415a.png
5050.92	320258.2	00508+3203	"A   922Aa,Ab"	691			9.61		9.77		106.44	y		0.786	a		83.8		178.8		2058.04	y		0.99		286.7		2000	1999	5	n	Msn2001c	wds00508+3203a.png
5136.99	223724.4	00516+2237	A  1808	701	4934	4030	7.93		8.22		112.4	y		0.121	a		17.8		163.1		1975.99	y		0.827		231.9		2000	2004	3	n	Doc2005b	wds00516+2237a.png
5152.18	-434232.3	00519-4343	I    47		5042	4049	7.45		7.95		516.5	y	43.1	1.228	a	0.154	77	2.6	4.5	1.8	1850.7	y	42.6	0.112	0.026	298.2	5.6	2000	2001	5		Cve2010e	wds00519-4343a.png
5201.02	315359.3	00520+3154	A   924	705			9.8		9.9		182.57	y	16.74	0.296	a	0.001	154.2	6.2	44.8	18.1	1986.54	y	0.53	0.704	0.021	318.2	17.6		2007	4		Hrt2009	wds00520+3154c.png
5207.59	103603.7	00521+1036	STF  67	709	4936	4065	8.98		9.56		41.33	c	53.88	5.982	a	0.085	113.3	11.3	216	25	1741	y	54	0.908	0.078	102	11.5	2000	2008	5		Hrt2011a	wds00521+1036k.png
5207.81	-131350	00521-1314	HU  201	713	5041	4066	10.09		10.47		128.9	y		0.542	a		44.1		124.6		1932.97	y		0.688		160		2000	2008	4	n	Sca2013d	wds00521-1314b.png
5319.51	40510.7	00533+0405	A  2307	732	5143	4176	7.55		8.79		57.78	y	3.87	0.233	a	0.005	74.3	1.6	222.4	1.4	2012.51	y	1.25	0.419	0.029	357.9	13.2	2000	2014	2	n	Tok2015c	wds00533+0405o.png
5320.22	-453020.7	00533-4530	B   644		5218	4177	9.05		9.05		375	y		0.62	a		72.7		51		2280	y		0.855		111.3		2000	1991	5		USN2002	wds00533-4530a.png
5411.08	431754.1	00542+4318	COU1654		5178		8.4		8.4		93	y		0.15	a		109.7		91.5		1918	y		0.564		110		2000	1995	4		USN2002	wds00542+4318a.png
